Energy,Protein,Fat,Carbohydrate,Name,Group
22,2.7,0,2.8,Lá kinh giới,Group_15
127,1.5,0.1,30,Sâm - Hồng sâm,Group_15
126,18.1,5.9,0.1,Chim sẻ,Group_15
128,21.8,4.53,0,Chim cút,Group_15
44,7.2,1.3,0.8,Ruột heo - Ruột lợn,Group_15
20,1.5,0,3.6,Cà,Group_15
126,19.4,5.4,0,Cá chim,Group_15
276,60,4,0,Cá chỉ vàng,Group_15
125,20.4,4.8,0,Cá cơm,Group_15
131,26,3,0,Cá diêu hồng,Group_15
161,27.3,4.6,2.7,Cá kèo,Group_15
73,15,1.4,0,Cá lóc,Group_15
112,19,4,0,Cá lăng,Group_15
87,19.4,1,0,Cá mú,Group_15
106,22,2,0,Cá suối,Group_15
129,21,5,0,Cá tầm,Group_15
65,7,0.5,8,Cá viên,Group_15
92,18.4,2,0,Cá vược,Group_15
68,3.3,3.1,6.6,Hương thảo,Group_15
46,0.9,0.3,10,Cóc,Group_15
126,2.7,0.4,28,Cơm,Group_15
24,2.9,0.4,2.2,Cải bó xôi,Group_15
19,1.7,0.1,2.8,Cần - Rau cần,Group_15  
11,1.6,0,1.2,Ngò rí - Ngò,Group_15  
136,5.6,1.7,24.5,Xạ hương,Group_15  
239,2.8,0.6,54,Me,Group_15  
279,23,11,24,Củ mài,Group_15  
48,1.4,0.4,9.8,Dâu tằm,Group_15  
21,4.4,0,0.9,Giấm - Dấm,Group_15  
164,18.9,9.8,0,Dồi,Group_15  
122,17.1,4.7,2.8,Gan ngỗng,Group_15  
78,2.5,0,17,Hành tím,Group_15  
674,15.2,65.2,8.1,Hạt óc chó,Group_15  
641,24.1,59.3,2.8,Hoành thánh,Group_15  
49,5.7,1.7,2.7,Hàu,Group_15  
373,16.5,30.7,7.7,Hạt chia,Group_15  
373,16.5,30.7,7.7,Hạt khô - Hạt,Group_15  
565,17.7,49.7,11.7,Hạt mè,Group_15  
63,3.7,3.3,1.8,Mù tạt,Group_15  
728,22.9,64.3,14.3,Hạt vừng,Group_15  
27,0.4,0.2,6,Hạt đác,Group_15  
114,8.7,2.7,13.7,Hủ tiếu,Group_15  
278,63,2.9,0,Khô cá,Group_15  
18,1.1,1.1,0.8,Kim chi,Group_15  
61,1.1,0.5,13,Kiwi - Ki wi,Group_15  
368,14.2,4.4,67.8,Kỷ tử,Group_15  
45,3.5,0.5,6.6,Rong biển,Group_15  
409,14,39.2,0,Ngan,Group_15  
396,13,10,61,Milo,Group_15  
178,3.2,0.4,40.4,Mì - Mỳ,Group_15  
54,10.9,0.7,1.2,Mâm xôi,Group_15  
53,0.2,0.5,12,Mía,Group_15  
37,6.4,0,2.9,Mùi tây,Group_15  
517,10.8,50.4,5.1,Mọc,Group_15  
896,0,99.6,0,Mỡ - Mỡ lợn,Group_15  
141,25.5,2,5.1,Ngao - Nghêu,Group_15  
72,13.8,1.8,0.2,Ngưu bàng,Group_15  
15,0.4,0.1,0,Nha đam,Group_15  
186,7,1.1,18.4,Nui,Group_15  
83,1.8,0.2,18.5,Nếp cẩm,Group_15  
326,10.8,24.6,15.4,Pa tê - Pate - Patê - Ba tê,Group_15  
150,4,5.5,21.3,Pudding,Group_15  
53,0.9,0.3,10.8,Quýt,Group_15  
15,1.4,0.2,1.9,Rau sống,Group_15  
83,9.4,1.4,8.3,Rau tiến vua,Group_15  
81,3.1,3.9,8.4,Sa tế,Group_15  
112,1.8,0.4,25.3,Sả,Group_15  
366,7.7,0,83.7,Thính,Group_15  
383,0.4,0.1,94.8,Thốt nốt,Group_15  
458,33.9,35.1,1.7,Tóp mỡ,Group_15  
45,1.7,0.6,8.3,Tảo - Tảo bẹ,Group_15  
346,8.4,1.6,74.9,Xôi - Xôi nếp,Group_15  
112,1.8,0.4,25.3,Xả,Group_15  
389,16.9,6.9,66.3,Yến mạch,Group_15  
